state,title,publication_date,report_type,sector,audit_year,detail_url,pdf_url,pdf_size_mb,scraped_at,report_no
Punjab,"Audit Report (Civil), Punjab For the Year 2008-09",,,Transport & Infrastructure,2008-09,https://cag.gov.in/en/audit-report/details/7608,/webroot/uploads/download_audit_report/2009/Punjab_Civil_2009.pdf,,2026-07-22T13:44:20Z,
Rajasthan,Report of the Comptroller and Auditor General of India (Compliance Audit-Civil) for the year ended 31 March 2023 (Report No. 6 of the year 2025),,Compliance,"Education, Health & Family Welfare",2022-23,https://cag.gov.in/en/audit-report/details/124181,/webroot/uploads/download_audit_report/2025/AR-CA-2022-23-GoR-English-0699fed3e608d90.07783215.pdf,,2026-07-22T13:05:00Z,
Rajasthan,Report of the Comptroller and Auditor General of India for the year ended 31 March 2023- Government of Rajasthan (Compliance and Performance Audit-Civil) (Report No. 5 of the year 2025),,Performance,Industry and Commerce,2022-23,https://cag.gov.in/en/audit-report/details/124042,/webroot/uploads/download_audit_report/2025/Report-No.-5-of-2025-(English)-upl-06996ea48c57101.25020223.pdf,,2026-07-22T13:05:03Z,
Rajasthan,Report of the Comptroller and Auditor General of India on Solid Waste Management in ULBs (Report No. 4 of the year 2025),,,Local Bodies,2024-25,https://cag.gov.in/en/audit-report/details/124004,/webroot/uploads/download_audit_report/2025/Solid-Waste-Management-english-searcheable-06995ab77ac3bc9.63293181.pdf,,2026-07-22T13:05:03Z,
Rajasthan,Report of the Comptroller and Auditor General of India on Welfare of Building and Other Construction Workers (Report No. 3 of the year 2025),,,Social Welfare,2024-25,https://cag.gov.in/en/audit-report/details/123983,/webroot/uploads/download_audit_report/2025/AR-BOCW-GoR-English-0699591721b9cc5.05195640.pdf,,2026-07-22T13:05:03Z,
Rajasthan,"COMPLIANCE AUDIT -CIVIL, REPORT OF THE CAG OF INDIA FOR THE PERIOD ENDED 31st MARCH 2022 (GOVERNMENT OF RAJASTHAN)",,Compliance,"Art, Culture and Sports",2024-25,https://cag.gov.in/en/audit-report/details/123161,/webroot/uploads/download_audit_report/2025/Full-English-AR-CA-2021-22-068b80adf026575.35183507.pdf,,2026-07-22T13:05:26Z,
Rajasthan,Report of the Comptroller and Auditor General of India on State Finances for the year 2023-2024 (Government of Rajasthan),,Financial,Finance,2023-20,https://cag.gov.in/en/audit-report/details/123143,/webroot/uploads/download_audit_report/2025/SFAR-2023-24-English-searcheable-068b691594ff225.07059711.pdf,,2026-07-22T13:05:26Z,
Rajasthan,Report of the Comptroller and Auditor General of India for the year ended 31 March 2022 - Government of Rajasthan (Compliance Audit-Civil & Commercial) (Report No.  5 of the year 2024),,Compliance,Industry and Commerce,2021-22,https://cag.gov.in/en/audit-report/details/121706,/webroot/uploads/download_audit_report/2024/Report-of-the-Comptroller-and-Auditor-General-of-India-for-the-year-ended-31-March-2022---Government-of-Rajasthan-(Compliance-Audit-Civil-and-Commercial)(Report-No.-5-of-the-year-2024)-067d01d579c2d36.85305345.pdf,,2026-07-22T13:06:19Z,
Rajasthan,Report No. 4 - Performance audit of Public Health Infrastructure and Management of health Services in Rajasthan,,Performance,Social Welfare,2023-24,https://cag.gov.in/en/audit-report/details/121644,/webroot/uploads/download_audit_report/2024/Report-4_Public-Health_English_Inner_curve-compressed-final-067ceb879705ab7.12104600.pdf,,2026-07-22T13:06:19Z,
Rajasthan,"Report No. 3 of the Year 2024 - State Finances Audit Report for the year ended 31 March 2023, Government of Rajasthan .",,Financial,Finance,2022-23,https://cag.gov.in/en/audit-report/details/119929,/webroot/uploads/download_audit_report/2024/SFAR-2022-23-English-Searchable-066a1dcd4abcd15.51713275.pdf,,2026-07-22T13:06:53Z,
